charger_id,region_id,city_name,year,quarter,charger_count,fast_charger_count,slow_charger_count,dc_fast_count,average_capacity_kw,operational_status,charger_per_1000_ev,infrastructure_gap_score,charging_readiness_score
C0001657,RG0035,Port Blair,2025,1,76,15,61,7,44.2,Operational,3.47,43.1,58.3
C0001658,RG0035,Port Blair,2025,2,81,16,65,7,46.8,Operational,3.49,42.0,59.6
C0001659,RG0035,Port Blair,2025,3,86,17,69,8,41.7,Operational,3.49,43.8,57.4
C0001660,RG0035,Port Blair,2025,4,92,18,74,8,44.3,Operational,3.48,43.0,58.4
C0001661,RG0035,Port Blair,2026,1,104,22,82,10,44.0,Operational,3.7,40.5,60.7
C0001662,RG0035,Port Blair,2026,2,111,23,88,10,44.4,Operational,3.7,40.4,60.9
C0001663,RG0035,Port Blair,2026,3,119,25,94,11,46.7,Under Construction,3.72,39.3,62.1
C0001664,RG0035,Port Blair,2026,4,127,27,100,12,44.8,Under Construction,3.7,40.2,61.1
C0001665,RG0035,Port Blair,2027,1,142,31,111,14,51.4,Operational,3.92,35.4,66.3
C0001666,RG0035,Port Blair,2027,2,150,33,117,15,46.0,Operational,3.93,37.1,64.1
C0001667,RG0035,Port Blair,2027,3,159,35,124,16,46.1,Under Construction,3.94,37.0,64.3
C0001668,RG0035,Port Blair,2027,4,168,37,131,17,45.8,Under Construction,3.93,37.2,64.0
C0001669,RG0035,Port Blair,2028,1,187,43,144,19,50.5,Operational,4.14,33.1,68.4
C0001670,RG0035,Port Blair,2028,2,198,46,152,21,52.0,Operational,4.14,32.6,69.0
C0001671,RG0035,Port Blair,2028,3,209,48,161,22,53.6,Under Construction,4.14,32.0,69.7
C0001672,RG0035,Port Blair,2028,4,223,51,172,23,51.7,Under Construction,4.15,32.6,69.0
C0001673,RG0035,Port Blair,2029,1,247,59,188,27,57.2,Operational,4.37,28.1,73.7
C0001674,RG0035,Port Blair,2029,2,259,62,197,28,50.7,Operational,4.37,30.4,71.0
C0001675,RG0035,Port Blair,2029,3,273,66,207,30,53.4,Under Construction,4.38,29.3,72.2
C0001676,RG0035,Port Blair,2029,4,288,69,219,31,55.9,Under Construction,4.36,28.7,73.1
C0001677,RG0035,Port Blair,2030,1,320,80,240,36,58.3,Operational,4.59,25.2,76.6
C0001678,RG0035,Port Blair,2030,2,337,84,253,38,53.0,Operational,4.59,27.0,74.4
C0001679,RG0035,Port Blair,2030,3,356,89,267,40,58.6,Under Construction,4.59,25.0,76.8
C0001680,RG0035,Port Blair,2030,4,379,95,284,43,54.7,Under Construction,4.59,26.4,75.1
C0001681,RG0036,Daman,2019,1,1,0,1,0,33.0,Operational,2.24,61.4,39.8
C0001682,RG0036,Daman,2019,2,2,0,2,0,32.6,Operational,2.15,62.5,38.7
C0001683,RG0036,Daman,2019,3,4,1,3,0,34.6,Operational,2.73,55.7,45.3
C0001684,RG0036,Daman,2019,4,5,1,4,0,35.6,Operational,2.41,58.7,42.6
C0001685,RG0036,Daman,2020,1,7,1,6,0,37.5,Operational,2.68,55.0,46.3
C0001686,RG0036,Daman,2020,2,9,1,8,0,34.2,Operational,2.81,54.8,46.2
C0001687,RG0036,Daman,2020,3,10,2,8,1,32.3,Operational,2.6,57.6,43.3
C0001688,RG0036,Daman,2020,4,13,2,11,1,30.5,Operational,2.82,56.0,44.8
C0001689,RG0036,Daman,2021,1,16,3,13,1,35.1,Operational,3.01,52.1,48.8
C0001690,RG0036,Daman,2021,2,18,3,15,1,39.0,Operational,2.96,51.3,50.0
C0001691,RG0036,Daman,2021,3,20,3,17,1,34.9,Operational,2.89,53.4,47.6
C0001692,RG0036,Daman,2021,4,23,4,19,2,35.4,Operational,2.92,53.0,48.1
C0001693,RG0036,Daman,2022,1,28,5,23,2,35.4,Operational,3.22,49.5,51.3
C0001694,RG0036,Daman,2022,2,30,5,25,2,42.2,Operational,3.13,48.1,53.3
C0001695,RG0036,Daman,2022,3,34,6,28,3,40.8,Operational,3.22,47.7,53.6
C0001696,RG0036,Daman,2022,4,37,6,31,3,39.6,Operational,3.15,48.8,52.4
C0001697,RG0036,Daman,2023,1,43,8,35,4,38.0,Operational,3.36,46.9,54.1
C0001698,RG0036,Daman,2023,2,47,8,39,4,38.5,Operational,3.38,46.5,54.5
C0001699,RG0036,Daman,2023,3,51,9,42,4,45.0,Operational,3.39,44.2,57.3
C0001700,RG0036,Daman,2023,4,56,10,46,4,45.0,Operational,3.39,44.2,57.3
C0001701,RG0036,Daman,2024,1,65,12,53,5,43.7,Operational,3.64,41.7,59.5
C0001702,RG0036,Daman,2024,2,70,13,57,6,46.7,Operational,3.64,40.7,60.8
C0001703,RG0036,Daman,2024,3,75,14,61,6,45.5,Operational,3.61,41.4,60.0
C0001704,RG0036,Daman,2024,4,82,16,66,7,43.6,Operational,3.62,42.0,59.3
C0001705,RG0036,Daman,2025,1,93,19,74,9,47.0,Operational,3.83,38.3,63.0
C0001706,RG0036,Daman,2025,2,100,20,80,9,45.3,Operational,3.85,38.7,62.5
C0001707,RG0036,Daman,2025,3,107,21,86,9,45.9,Operational,3.84,38.6,62.7
C0001708,RG0036,Daman,2025,4,115,23,92,10,44.5,Operational,3.82,39.3,61.9
C0001709,RG0036,Daman,2026,1,131,28,103,13,47.6,Operational,4.06,35.5,65.8
C0001710,RG0036,Daman,2026,2,139,29,110,13,48.1,Operational,4.05,35.4,66.0
C0001711,RG0036,Daman,2026,3,148,31,117,14,52.1,Operational,4.05,34.0,67.6
C0001712,RG0036,Daman,2026,4,160,34,126,15,50.9,Operational,4.06,34.3,67.2
C0001713,RG0036,Daman,2027,1,178,39,139,18,48.5,Operational,4.28,32.6,68.7
C0001714,RG0036,Daman,2027,2,187,41,146,18,47.0,Operational,4.27,33.2,67.9
C0001715,RG0036,Daman,2027,3,198,44,154,20,49.5,Operational,4.27,32.3,69.0
C0001716,RG0036,Daman,2027,4,212,47,165,21,50.6,Operational,4.28,31.8,69.6
C0001717,RG0036,Daman,2028,1,235,54,181,24,49.7,Operational,4.49,29.7,71.5
C0001718,RG0036,Daman,2028,2,249,57,192,26,51.6,Operational,4.49,29.0,72.3
C0001719,RG0036,Daman,2028,3,264,61,203,27,56.4,Operational,4.5,27.3,74.4
C0001720,RG0036,Daman,2028,4,281,65,216,29,50.3,Operational,4.49,29.5,71.8
C0001721,RG0036,Daman,2029,1,313,75,238,34,55.5,Operational,4.72,25.0,76.5
C0001722,RG0036,Daman,2029,2,331,79,252,36,52.0,Operational,4.71,26.3,74.9
C0001723,RG0036,Daman,2029,3,352,84,268,38,56.7,Operational,4.72,24.6,77.0
C0001724,RG0036,Daman,2029,4,375,90,285,40,54.0,Operational,4.71,25.6,75.8
C0001725,RG0036,Daman,2030,1,415,104,311,47,54.2,Operational,4.94,22.9,78.4
C0001726,RG0036,Daman,2030,2,440,110,330,50,55.0,Operational,4.93,22.7,78.6
C0001727,RG0036,Daman,2030,3,467,117,350,53,60.3,Operational,4.93,20.9,80.9
C0001728,RG0036,Daman,2030,4,498,124,374,56,60.6,Operational,4.93,20.8,81.0
C0001729,RG0037,Visakhapatnam,2019,1,3,1,2,1,43.5,Operational,3.26,44.0,57.4
C0001730,RG0037,Visakhapatnam,2019,2,5,1,4,1,40.5,Operational,2.79,50.0,51.4
C0001731,RG0037,Visakhapatnam,2019,3,9,2,7,1,40.8,Operational,3.2,45.6,55.6
C0001732,RG0037,Visakhapatnam,2019,4,12,3,9,2,48.1,Operational,2.98,45.4,56.5
C0001733,RG0037,Visakhapatnam,2020,1,17,5,12,3,45.9,Operational,3.23,43.3,58.3
C0001734,RG0037,Visakhapatnam,2020,2,22,6,16,3,50.4,Operational,3.36,40.3,61.5
C0001735,RG0037,Visakhapatnam,2020,3,26,7,19,4,49.8,Operational,3.26,41.6,60.3
C0001736,RG0037,Visakhapatnam,2020,4,32,9,23,5,48.1,Operational,3.31,41.7,60.1
C0001737,RG0037,Visakhapatnam,2021,1,39,11,28,6,47.1,Operational,3.5,39.8,61.8
C0001738,RG0037,Visakhapatnam,2021,2,45,13,32,7,52.1,Operational,3.54,37.6,64.3
C0001739,RG0037,Visakhapatnam,2021,3,50,14,36,8,50.1,Operational,3.48,38.9,62.8
C0001740,RG0037,Visakhapatnam,2021,4,58,16,42,9,49.3,Operational,3.53,38.7,63.0
C0001741,RG0037,Visakhapatnam,2022,1,69,20,49,11,47.9,Operational,3.73,36.8,64.7
C0001742,RG0037,Visakhapatnam,2022,2,77,22,55,12,54.3,Operational,3.72,34.7,67.3
C0001743,RG0037,Visakhapatnam,2022,3,86,25,61,14,49.3,Operational,3.74,36.2,65.4
C0001744,RG0037,Visakhapatnam,2022,4,96,28,68,15,54.9,Operational,3.73,34.4,67.6
C0001745,RG0037,Visakhapatnam,2023,1,110,33,77,18,54.3,Operational,3.94,32.1,69.7
C0001746,RG0037,Visakhapatnam,2023,2,120,36,84,20,52.3,Operational,3.94,32.8,68.9
C0001747,RG0037,Visakhapatnam,2023,3,131,39,92,21,52.0,Operational,3.94,32.9,68.7
C0001748,RG0037,Visakhapatnam,2023,4,143,43,100,24,53.8,Operational,3.94,32.3,69.5
C0001749,RG0037,Visakhapatnam,2024,1,164,51,113,28,52.1,Operational,4.16,30.3,71.2
C0001750,RG0037,Visakhapatnam,2024,2,178,55,123,30,57.9,Operational,4.17,28.2,73.8
C0001751,RG0037,Visakhapatnam,2024,3,193,60,133,33,54.6,Operational,4.16,29.5,72.3
C0001752,RG0037,Visakhapatnam,2024,4,211,65,146,36,55.6,Operational,4.16,29.1,72.7
C0001753,RG0037,Visakhapatnam,2025,1,240,77,163,42,59.3,Operational,4.39,25.2,76.8
C0001754,RG0037,Visakhapatnam,2025,2,258,83,175,46,57.3,Operational,4.39,25.9,76.0
C0001755,RG0037,Visakhapatnam,2025,3,279,89,190,49,60.6,Operational,4.39,24.7,77.4
C0001756,RG0037,Visakhapatnam,2025,4,302,97,205,53,57.1,Operational,4.38,26.0,75.8
C0001757,RG0037,Visakhapatnam,2026,1,338,112,226,62,60.7,Operational,4.61,22.1,79.8
C0001758,RG0037,Visakhapatnam,2026,2,360,119,241,65,59.3,Operational,4.61,22.6,79.3
C0001759,RG0037,Visakhapatnam,2026,3,385,127,258,70,61.9,Operational,4.61,21.7,80.3
C0001760,RG0037,Visakhapatnam,2026,4,413,136,277,75,62.1,Operational,4.61,21.6,80.4
C0001761,RG0037,Visakhapatnam,2027,1,462,157,305,86,62.3,Operational,4.83,19.0,83.0
C0001762,RG0037,Visakhapatnam,2027,2,492,167,325,92,65.2,Operational,4.83,18.0,84.2
C0001763,RG0037,Visakhapatnam,2027,3,525,178,347,98,60.4,Operational,4.82,19.8,82.1
C0001764,RG0037,Visakhapatnam,2027,4,568,193,375,106,60.5,Operational,4.83,19.6,82.2
C0001765,RG0037,Visakhapatnam,2028,1,635,222,413,122,68.3,Operational,5.04,14.4,87.8
C0001766,RG0037,Visakhapatnam,2028,2,676,237,439,130,63.9,Operational,5.05,15.9,86.1
C0001767,RG0037,Visakhapatnam,2028,3,724,253,471,139,63.0,Operational,5.04,16.3,85.6
C0001768,RG0037,Visakhapatnam,2028,4,781,273,508,150,68.4,Operational,5.05,14.3,88.0
C0001769,RG0037,Visakhapatnam,2029,1,865,311,554,171,68.1,Operational,5.27,11.8,90.3
C0001770,RG0037,Visakhapatnam,2029,2,913,329,584,181,70.2,Operational,5.26,11.2,91.1
C0001771,RG0037,Visakhapatnam,2029,3,970,349,621,192,65.7,Operational,5.27,12.7,89.3
C0001772,RG0037,Visakhapatnam,2029,4,1037,373,664,205,64.0,Operational,5.27,13.3,88.6
C0001773,RG0037,Visakhapatnam,2030,1,1149,425,724,234,70.1,Operational,5.49,8.6,93.6
C0001774,RG0037,Visakhapatnam,2030,2,1225,453,772,249,68.2,Operational,5.49,9.2,92.8
C0001775,RG0037,Visakhapatnam,2030,3,1308,484,824,266,71.1,Operational,5.49,8.2,94.0
C0001776,RG0037,Visakhapatnam,2030,4,1404,519,885,285,69.4,Operational,5.49,8.8,93.3
C0001777,RG0038,Vijayawada,2019,1,3,1,2,1,44.1,Operational,3.41,42.3,59.1
C0001778,RG0038,Vijayawada,2019,2,5,1,4,1,46.2,Operational,2.86,47.3,54.5
C0001779,RG0038,Vijayawada,2019,3,8,2,6,1,43.8,Operational,2.97,47.0,54.6
C0001780,RG0038,Vijayawada,2019,4,12,3,9,2,43.4,Operational,3.09,45.9,55.6
C0001781,RG0038,Vijayawada,2020,1,17,5,12,3,47.2,Operational,3.33,41.8,59.9
C0001782,RG0038,Vijayawada,2020,2,21,6,15,3,49.8,Operational,3.32,41.0,60.9
C0001783,RG0038,Vijayawada,2020,3,25,7,18,4,50.1,Operational,3.25,41.6,60.3
C0001784,RG0038,Vijayawada,2020,4,31,8,23,4,44.2,Operational,3.32,42.9,58.5
C0001785,RG0038,Vijayawada,2021,1,38,11,27,6,52.1,Operational,3.54,37.6,64.3
C0001786,RG0038,Vijayawada,2021,2,43,12,31,7,48.8,Operational,3.52,39.0,62.7
C0001787,RG0038,Vijayawada,2021,3,48,13,35,7,51.9,Operational,3.49,38.2,63.7
C0001788,RG0038,Vijayawada,2021,4,55,15,40,8,50.9,Operational,3.52,38.2,63.6
C0001789,RG0038,Vijayawada,2022,1,66,19,47,10,50.4,Operational,3.73,35.9,65.7
C0001790,RG0038,Vijayawada,2022,2,73,21,52,12,53.4,Operational,3.7,35.2,66.7
C0001791,RG0038,Vijayawada,2022,3,82,24,58,13,49.6,Operational,3.74,36.1,65.5
C0001792,RG0038,Vijayawada,2022,4,92,27,65,15,50.3,Operational,3.73,36.0,65.7
C0001793,RG0038,Vijayawada,2023,1,107,32,75,18,57.6,Operational,3.95,30.9,71.2
C0001794,RG0038,Vijayawada,2023,2,116,35,81,19,54.3,Operational,3.95,32.0,69.8
C0001795,RG0038,Vijayawada,2023,3,127,38,89,21,54.7,Operational,3.96,31.8,70.1
C0001796,RG0038,Vijayawada,2023,4,139,42,97,23,51.7,Operational,3.96,32.8,68.8
C0001797,RG0038,Vijayawada,2024,1,159,49,110,27,56.1,Operational,4.17,28.8,73.0
C0001798,RG0038,Vijayawada,2024,2,171,53,118,29,53.0,Operational,4.16,30.0,71.6
C0001799,RG0038,Vijayawada,2024,3,185,57,128,31,55.1,Operational,4.17,29.2,72.6
C0001800,RG0038,Vijayawada,2024,4,201,62,139,34,55.8,Operational,4.17,28.9,72.9
C0001801,RG0038,Vijayawada,2025,1,229,73,156,40,54.4,Operational,4.39,26.9,74.7
C0001802,RG0038,Vijayawada,2025,2,247,79,168,43,56.0,Operational,4.39,26.3,75.4
C0001803,RG0038,Vijayawada,2025,3,266,85,181,47,58.3,Operational,4.39,25.5,76.4
C0001804,RG0038,Vijayawada,2025,4,289,92,197,51,56.8,Operational,4.38,26.1,75.7
C0001805,RG0038,Vijayawada,2026,1,327,108,219,59,63.0,Operational,4.61,21.3,80.8
C0001806,RG0038,Vijayawada,2026,2,350,116,234,64,63.1,Operational,4.6,21.4,80.8
C0001807,RG0038,Vijayawada,2026,3,377,124,253,68,57.8,Operational,4.61,23.1,78.6
C0001808,RG0038,Vijayawada,2026,4,407,134,273,74,63.1,Operational,4.6,21.4,80.8
C0001809,RG0038,Vijayawada,2027,1,457,155,302,85,63.5,Operational,4.83,18.6,83.5
C0001810,RG0038,Vijayawada,2027,2,488,166,322,91,63.8,Operational,4.83,18.5,83.6
C0001811,RG0038,Vijayawada,2027,3,522,177,345,97,60.7,Operational,4.83,19.5,82.3
C0001812,RG0038,Vijayawada,2027,4,560,190,370,105,61.5,Operational,4.83,19.3,82.6
C0001813,RG0038,Vijayawada,2028,1,622,218,404,120,67.2,Operational,5.05,14.7,87.5
C0001814,RG0038,Vijayawada,2028,2,659,231,428,127,64.2,Operational,5.05,15.8,86.2
C0001815,RG0038,Vijayawada,2028,3,703,246,457,135,67.5,Operational,5.05,14.6,87.6
C0001816,RG0038,Vijayawada,2028,4,754,264,490,145,67.3,Operational,5.04,14.8,87.4
C0001817,RG0038,Vijayawada,2029,1,840,302,538,166,69.6,Operational,5.27,11.3,90.9
C0001818,RG0038,Vijayawada,2029,2,898,323,575,178,68.2,Operational,5.27,11.8,90.3
C0001819,RG0038,Vijayawada,2029,3,958,345,613,190,64.8,Operational,5.27,13.0,88.9
C0001820,RG0038,Vijayawada,2029,4,1033,372,661,205,70.3,Operational,5.27,11.1,91.2
C0001821,RG0038,Vijayawada,2030,1,1146,424,722,233,67.4,Operational,5.49,9.5,92.5
C0001822,RG0038,Vijayawada,2030,2,1219,451,768,248,69.7,Operational,5.49,8.7,93.4
C0001823,RG0038,Vijayawada,2030,3,1297,480,817,264,71.9,Operational,5.48,8.0,94.2
C0001824,RG0038,Vijayawada,2030,4,1392,515,877,283,74.1,Operational,5.49,7.2,95.3
C0001825,RG0039,Guntur,2019,1,2,0,2,0,36.3,Operational,3.1,51.2,49.7
C0001826,RG0039,Guntur,2019,2,3,0,3,0,37.7,Operational,2.26,59.6,41.9
C0001827,RG0039,Guntur,2019,3,5,1,4,0,37.1,Operational,2.45,57.8,43.6
C0001828,RG0039,Guntur,2019,4,7,1,6,0,35.9,Operational,2.42,58.5,42.8
C0001829,RG0039,Guntur,2020,1,10,2,8,1,34.5,Operational,2.7,55.8,45.2
C0001830,RG0039,Guntur,2020,2,12,2,10,1,32.6,Operational,2.68,56.7,44.2
C0001831,RG0039,Guntur,2020,3,14,2,12,1,36.5,Operational,2.61,56.1,45.2
C0001832,RG0039,Guntur,2020,4,17,3,14,1,34.0,Operational,2.63,56.7,44.3
C0001833,RG0039,Guntur,2021,1,21,3,18,1,37.9,Operational,2.87,52.6,48.6
C0001834,RG0039,Guntur,2021,2,24,4,20,2,40.4,Operational,2.9,51.4,50.0
C0001835,RG0039,Guntur,2021,3,27,4,23,2,42.6,Operational,2.9,50.6,50.9
C0001836,RG0039,Guntur,2021,4,30,5,25,2,40.9,Operational,2.86,51.7,49.8
C0001837,RG0039,Guntur,2022,1,37,6,31,3,43.4,Operational,3.15,47.5,54.0
C0001838,RG0039,Guntur,2022,2,41,7,34,3,42.6,Operational,3.13,48.0,53.4
C0001839,RG0039,Guntur,2022,3,45,8,37,4,43.6,Operational,3.1,47.9,53.6
C0001840,RG0039,Guntur,2022,4,51,9,42,4,41.7,Operational,3.14,48.2,53.2
C0001841,RG0039,Guntur,2023,1,59,11,48,5,41.3,Operational,3.36,45.8,55.4
C0001842,RG0039,Guntur,2023,2,63,11,52,5,43.6,Operational,3.32,45.4,56.0
C0001843,RG0039,Guntur,2023,3,69,12,57,5,45.6,Operational,3.36,44.3,57.3
C0001844,RG0039,Guntur,2023,4,75,14,61,6,41.5,Operational,3.37,45.6,55.6
C0001845,RG0039,Guntur,2024,1,86,16,70,7,46.5,Operational,3.57,41.5,60.0
C0001846,RG0039,Guntur,2024,2,92,17,75,8,43.4,Operational,3.55,42.8,58.5
C0001847,RG0039,Guntur,2024,3,100,19,81,9,44.1,Operational,3.58,42.2,59.1
C0001848,RG0039,Guntur,2024,4,108,21,87,9,43.6,Operational,3.55,42.7,58.6
C0001849,RG0039,Guntur,2025,1,124,25,99,11,44.4,Operational,3.77,39.9,61.3
C0001850,RG0039,Guntur,2025,2,133,27,106,12,45.9,Operational,3.77,39.4,62.0
C0001851,RG0039,Guntur,2025,3,144,29,115,13,46.8,Operational,3.8,38.7,62.7
C0001852,RG0039,Guntur,2025,4,156,31,125,14,51.6,Operational,3.79,37.1,64.6
C0001853,RG0039,Guntur,2026,1,175,37,138,17,53.1,Operational,4.0,34.2,67.6
C0001854,RG0039,Guntur,2026,2,186,39,147,18,51.5,Operational,4.01,34.6,67.0
C0001855,RG0039,Guntur,2026,3,198,42,156,19,53.1,Operational,4.01,34.1,67.7
C0001856,RG0039,Guntur,2026,4,213,45,168,20,53.2,Operational,4.01,34.0,67.7
C0001857,RG0039,Guntur,2027,1,240,53,187,24,50.4,Operational,4.23,32.4,69.0
C0001858,RG0039,Guntur,2027,2,256,56,200,25,50.5,Operational,4.22,32.5,68.9
C0001859,RG0039,Guntur,2027,3,273,60,213,27,50.4,Operational,4.22,32.6,68.9
C0001860,RG0039,Guntur,2027,4,296,65,231,29,54.6,Operational,4.23,31.0,70.7
C0001861,RG0039,Guntur,2028,1,332,76,256,34,55.9,Operational,4.45,28.0,73.7
C0001862,RG0039,Guntur,2028,2,353,81,272,36,55.7,Operational,4.45,28.0,73.6
C0001863,RG0039,Guntur,2028,3,377,87,290,39,52.4,Operational,4.45,29.2,72.3
C0001864,RG0039,Guntur,2028,4,406,93,313,42,55.6,Operational,4.45,28.1,73.6
C0001865,RG0039,Guntur,2029,1,451,108,343,49,61.5,Operational,4.67,23.4,78.5
C0001866,RG0039,Guntur,2029,2,477,114,363,51,60.5,Operational,4.67,23.8,78.1
C0001867,RG0039,Guntur,2029,3,507,122,385,55,60.1,Operational,4.67,23.9,77.9
C0001868,RG0039,Guntur,2029,4,543,130,413,58,59.2,Operational,4.67,24.2,77.6
C0001869,RG0039,Guntur,2030,1,599,150,449,68,56.1,Operational,4.89,22.8,78.7
C0001870,RG0039,Guntur,2030,2,632,158,474,71,57.7,Operational,4.89,22.2,79.4
C0001871,RG0039,Guntur,2030,3,667,167,500,75,58.1,Operational,4.89,22.1,79.6
C0001872,RG0039,Guntur,2030,4,711,178,533,80,63.4,Operational,4.89,20.2,81.8
C0001873,RG0040,Tirupati,2019,1,1,0,1,0,34.7,Operational,1.65,67.0,34.6
C0001874,RG0040,Tirupati,2019,2,3,0,3,0,34.2,Operational,2.38,59.5,41.7
C0001875,RG0040,Tirupati,2019,3,5,1,4,0,36.0,Operational,2.59,56.7,44.5
C0001876,RG0040,Tirupati,2019,4,7,1,6,0,36.9,Operational,2.55,56.8,44.5
C0001877,RG0040,Tirupati,2020,1,10,2,8,1,38.4,Operational,2.8,53.4,47.9
C0001878,RG0040,Tirupati,2020,2,12,2,10,1,33.2,Operational,2.71,56.2,44.8
C0001879,RG0040,Tirupati,2020,3,14,2,12,1,35.0,Operational,2.62,56.5,44.7
C0001880,RG0040,Tirupati,2020,4,17,3,14,1,34.9,Operational,2.63,56.4,44.7
C0001881,RG0040,Tirupati,2021,1,22,4,18,2,40.0,Operational,2.91,51.4,49.9
C0001882,RG0040,Tirupati,2021,2,25,4,21,2,42.4,Operational,2.88,50.9,50.6
C0001883,RG0040,Tirupati,2021,3,29,5,24,2,36.4,Operational,2.92,52.6,48.5
C0001884,RG0040,Tirupati,2021,4,33,5,28,2,39.2,Operational,2.91,51.7,49.6
C0001885,RG0040,Tirupati,2022,1,39,7,32,3,39.1,Operational,3.11,49.4,51.8
C0001886,RG0040,Tirupati,2022,2,43,7,36,3,39.2,Operational,3.12,49.3,51.9
C0001887,RG0040,Tirupati,2022,3,47,8,39,4,44.7,Operational,3.1,47.6,54.0
C0001888,RG0040,Tirupati,2022,4,52,9,43,4,37.6,Operational,3.1,50.0,51.0
C0001889,RG0040,Tirupati,2023,1,61,11,50,5,41.5,Operational,3.34,45.9,55.3
C0001890,RG0040,Tirupati,2023,2,66,12,54,5,39.5,Operational,3.33,46.7,54.4
C0001891,RG0040,Tirupati,2023,3,72,13,59,6,47.2,Operational,3.33,44.0,57.6
C0001892,RG0040,Tirupati,2023,4,79,14,65,6,41.9,Operational,3.33,45.9,55.4
C0001893,RG0040,Tirupati,2024,1,92,17,75,8,48.4,Operational,3.57,40.8,60.8
C0001894,RG0040,Tirupati,2024,2,99,19,80,9,47.9,Operational,3.58,40.9,60.7
C0001895,RG0040,Tirupati,2024,3,107,20,87,9,47.6,Operational,3.57,41.1,60.4
C0001896,RG0040,Tirupati,2024,4,116,22,94,10,44.6,Operational,3.55,42.4,59.0
C0001897,RG0040,Tirupati,2025,1,134,27,107,12,47.0,Operational,3.8,38.7,62.7
C0001898,RG0040,Tirupati,2025,2,144,29,115,13,44.6,Operational,3.79,39.6,61.6
C0001899,RG0040,Tirupati,2025,3,155,31,124,14,44.8,Operational,3.79,39.5,61.7
C0001900,RG0040,Tirupati,2025,4,168,34,134,15,51.2,Operational,3.79,37.3,64.4
C0001901,RG0040,Tirupati,2026,1,190,40,150,18,51.2,Operational,4.02,34.6,67.0
C0001902,RG0040,Tirupati,2026,2,202,42,160,19,47.7,Operational,4.01,36.0,65.4
C0001903,RG0040,Tirupati,2026,3,216,45,171,20,52.9,Operational,4.01,34.1,67.6
C0001904,RG0040,Tirupati,2026,4,232,49,183,22,52.8,Operational,4.0,34.3,67.4
C0001905,RG0040,Tirupati,2027,1,262,58,204,26,53.2,Operational,4.23,31.5,70.1
C0001906,RG0040,Tirupati,2027,2,279,61,218,27,48.9,Operational,4.23,33.0,68.3
C0001907,RG0040,Tirupati,2027,3,297,65,232,29,53.7,Operational,4.23,31.3,70.4
C0001908,RG0040,Tirupati,2027,4,320,70,250,32,56.7,Operational,4.23,30.2,71.6
C0001909,RG0040,Tirupati,2028,1,355,82,273,37,58.9,Operational,4.45,26.9,75.0
C0001910,RG0040,Tirupati,2028,2,376,86,290,39,56.5,Operational,4.45,27.8,74.0
C0001911,RG0040,Tirupati,2028,3,399,92,307,41,54.9,Operational,4.45,28.3,73.3
C0001912,RG0040,Tirupati,2028,4,425,98,327,44,56.4,Operational,4.44,27.9,73.8
C0001913,RG0040,Tirupati,2029,1,472,113,359,51,54.9,Operational,4.67,25.8,75.8
C0001914,RG0040,Tirupati,2029,2,499,120,379,54,59.5,Operational,4.67,24.1,77.7
C0001915,RG0040,Tirupati,2029,3,527,126,401,57,57.7,Operational,4.66,24.9,76.8
C0001916,RG0040,Tirupati,2029,4,561,135,426,61,57.4,Operational,4.67,24.9,76.8
C0001917,RG0040,Tirupati,2030,1,623,156,467,70,60.9,Operational,4.89,21.1,80.7
C0001918,RG0040,Tirupati,2030,2,662,166,496,75,57.6,Operational,4.89,22.2,79.3
C0001919,RG0040,Tirupati,2030,3,704,176,528,79,56.4,Operational,4.89,22.7,78.8
C0001920,RG0040,Tirupati,2030,4,753,188,565,85,57.1,Operational,4.89,22.4,79.1
C0001921,RG0041,Kakinada,2019,1,2,0,2,0,37.9,Operational,3.15,50.2,50.9
C0001922,RG0041,Kakinada,2019,2,3,0,3,0,34.2,Operational,2.38,59.5,41.7
C0001923,RG0041,Kakinada,2019,3,5,1,4,0,35.9,Operational,2.59,56.7,44.5
C0001924,RG0041,Kakinada,2019,4,7,1,6,0,36.0,Operational,2.52,57.4,43.8
C0001925,RG0041,Kakinada,2020,1,9,1,8,0,38.7,Operational,2.55,55.9,45.5
C0001926,RG0041,Kakinada,2020,2,12,2,10,1,33.4,Operational,2.76,55.6,45.4
C0001927,RG0041,Kakinada,2020,3,14,2,12,1,38.8,Operational,2.7,54.3,47.0
C0001928,RG0041,Kakinada,2020,4,17,3,14,1,37.2,Operational,2.74,54.5,46.8
C0001929,RG0041,Kakinada,2021,1,21,3,18,1,41.4,Operational,2.95,50.5,50.9
C0001930,RG0041,Kakinada,2021,2,23,4,19,2,39.6,Operational,2.85,52.2,49.1
C0001931,RG0041,Kakinada,2021,3,27,4,23,2,38.0,Operational,2.96,51.6,49.6
C0001932,RG0041,Kakinada,2021,4,30,5,25,2,37.8,Operational,2.89,52.4,48.8
C0001933,RG0041,Kakinada,2022,1,36,6,30,3,40.7,Operational,3.1,49.0,52.3
C0001934,RG0041,Kakinada,2022,2,40,7,33,3,40.9,Operational,3.09,49.0,52.3
C0001935,RG0041,Kakinada,2022,3,45,8,37,4,42.8,Operational,3.13,47.9,53.5
C0001936,RG0041,Kakinada,2022,4,51,9,42,4,42.3,Operational,3.15,47.9,53.5
C0001937,RG0041,Kakinada,2023,1,59,11,48,5,45.3,Operational,3.32,44.8,56.7
C0001938,RG0041,Kakinada,2023,2,65,12,53,5,39.6,Operational,3.35,46.5,54.6
