demo_id,region_id,year,population,urban_population_pct,population_density,median_age,literacy_rate,working_age_population_pct
D000404,RG0034,2026,79256,47.3,803,32.0,78.5,62.1
D000405,RG0034,2027,80038,49.6,800,32.0,78.8,62.1
D000406,RG0034,2028,80404,49.2,811,32.1,78.8,61.8
D000407,RG0034,2029,81014,50.0,810,32.5,79.1,62.0
D000408,RG0034,2030,82655,51.5,815,32.7,79.5,61.7
D000409,RG0035,2019,402358,43.4,851,30.1,80.0,63.6
D000410,RG0035,2020,401723,43.5,856,29.9,80.1,63.5
D000411,RG0035,2021,411292,44.7,888,30.0,80.3,63.2
D000412,RG0035,2022,416393,44.1,876,30.3,80.7,63.4
D000413,RG0035,2023,419583,46.1,890,30.4,80.6,63.1
D000414,RG0035,2024,423541,46.3,917,30.1,81.0,63.2
D000415,RG0035,2025,433720,46.1,936,30.4,81.3,63.3
D000416,RG0035,2026,436233,46.5,934,30.3,81.5,62.9
D000417,RG0035,2027,443667,48.1,929,30.4,81.7,62.8
D000418,RG0035,2028,448033,48.1,956,30.8,81.9,62.8
D000419,RG0035,2029,457437,50.0,976,30.6,82.1,63.1
D000420,RG0035,2030,457076,49.8,979,30.9,82.3,62.7
D000421,RG0036,2019,611179,58.1,995,30.2,84.0,64.2
D000422,RG0036,2020,620675,59.3,1021,30.0,83.8,64.0
D000423,RG0036,2021,631438,61.1,1001,30.5,84.2,64.0
D000424,RG0036,2022,636602,60.1,1019,30.1,84.5,63.9
D000425,RG0036,2023,639307,61.4,1020,30.1,84.7,63.9
D000426,RG0036,2024,653078,61.3,1063,30.5,84.8,63.8
D000427,RG0036,2025,658717,62.6,1029,30.5,85.0,63.7
D000428,RG0036,2026,676872,63.7,1062,30.4,84.9,63.8
D000429,RG0036,2027,678501,63.4,1089,30.5,85.3,63.5
D000430,RG0036,2028,682622,65.7,1073,30.7,85.4,63.4
D000431,RG0036,2029,703146,66.1,1106,31.0,85.5,63.6
D000432,RG0036,2030,709726,65.6,1089,31.1,85.7,63.3
D000433,RG0037,2019,2626841,88.1,7600,28.4,92.7,67.1
D000434,RG0037,2020,2670649,88.7,7918,28.7,92.7,66.8
D000435,RG0037,2021,2723421,88.7,8016,28.5,93.1,66.7
D000436,RG0037,2022,2795182,89.1,8110,28.9,93.1,66.7
D000437,RG0037,2023,2828269,90.8,7926,29.0,93.6,66.6
D000438,RG0037,2024,2913889,90.5,8355,28.7,93.7,66.4
D000439,RG0037,2025,2953307,90.5,8566,29.0,93.7,66.5
D000440,RG0037,2026,3028803,92.7,8186,28.9,94.1,66.7
D000441,RG0037,2027,3104672,92.4,8262,29.3,94.0,66.3
D000442,RG0037,2028,3185575,93.1,8609,29.0,94.6,66.5
D000443,RG0037,2029,3282968,93.5,8829,29.2,94.4,66.3
D000444,RG0037,2030,3354341,94.6,8886,29.3,94.9,66.4
D000445,RG0038,2019,1378426,89.9,7865,27.4,93.7,67.8
D000446,RG0038,2020,1424684,91.5,7957,27.4,94.3,67.7
D000447,RG0038,2021,1448471,92.0,8097,27.5,94.1,67.6
D000448,RG0038,2022,1476289,91.8,7946,27.6,94.3,67.6
D000449,RG0038,2023,1521823,92.8,7900,27.6,94.9,67.5
D000450,RG0038,2024,1552214,93.5,8464,27.7,95.0,67.3
D000451,RG0038,2025,1582595,94.4,8519,27.9,94.8,67.2
D000452,RG0038,2026,1618004,96.4,8363,28.0,95.3,67.3
D000453,RG0038,2027,1637264,95.3,8537,28.0,95.4,67.2
D000454,RG0038,2028,1696861,96.7,8851,27.8,95.6,67.3
D000455,RG0038,2029,1718573,98.3,8682,28.0,95.5,67.0
D000456,RG0038,2030,1776879,97.9,9004,28.1,95.9,67.2
D000457,RG0039,2019,3861947,71.0,3355,28.1,90.1,66.2
D000458,RG0039,2020,3862270,72.3,3211,28.6,90.5,66.2
D000459,RG0039,2021,4002336,72.0,3246,28.2,90.3,66.0
D000460,RG0039,2022,4068438,73.7,3371,28.4,90.7,66.2
D000461,RG0039,2023,4077266,73.1,3514,28.5,91.0,66.2
D000462,RG0039,2024,4205088,73.2,3372,28.5,91.0,65.8
D000463,RG0039,2025,4270670,74.1,3471,28.7,91.2,66.0
D000464,RG0039,2026,4306630,75.5,3628,28.8,91.1,65.8
D000465,RG0039,2027,4438843,75.1,3480,28.9,91.3,65.9
D000466,RG0039,2028,4487490,76.7,3628,29.2,91.8,65.5
D000467,RG0039,2029,4560171,77.2,3721,28.8,92.0,65.8
D000468,RG0039,2030,4632253,78.0,3681,28.8,91.9,65.5
D000469,RG0040,2019,1077283,71.7,3176,28.6,90.5,66.8
D000470,RG0040,2020,1100446,72.7,3313,28.8,90.7,66.8
D000471,RG0040,2021,1108527,73.7,3323,28.8,91.0,66.8
D000472,RG0040,2022,1125511,74.0,3384,28.7,90.9,66.6
D000473,RG0040,2023,1151440,75.1,3375,28.8,91.1,66.8
D000474,RG0040,2024,1172548,74.5,3487,28.7,91.3,66.4
D000475,RG0040,2025,1192210,75.6,3539,28.8,91.3,66.5
D000476,RG0040,2026,1218072,76.5,3478,29.1,91.6,66.6
D000477,RG0040,2027,1249561,77.4,3472,29.0,91.7,66.3
D000478,RG0040,2028,1266095,77.0,3648,29.3,91.9,66.4
D000479,RG0040,2029,1289099,78.5,3714,29.4,92.0,66.4
D000480,RG0040,2030,1310941,78.2,3598,29.2,92.6,66.4
D000481,RG0041,2019,3470251,74.1,3299,28.6,91.1,67.2
D000482,RG0041,2020,3554274,74.9,3324,28.7,91.4,67.1
D000483,RG0041,2021,3571196,74.8,3398,29.1,91.6,67.1
D000484,RG0041,2022,3652271,76.9,3332,29.1,91.9,66.9
D000485,RG0041,2023,3733823,77.4,3339,29.0,92.1,66.8
D000486,RG0041,2024,3823605,76.9,3463,28.9,92.2,66.7
D000487,RG0041,2025,3890979,78.6,3513,29.5,92.3,66.6
D000488,RG0041,2026,3974794,79.7,3452,29.4,92.4,66.7
D000489,RG0041,2027,4036782,79.8,3615,29.3,92.7,66.6
D000490,RG0041,2028,4106845,79.9,3528,29.2,92.6,66.5
D000491,RG0041,2029,4169798,81.3,3673,29.3,93.2,66.5
D000492,RG0041,2030,4273253,82.4,3614,29.7,92.9,66.5
D000493,RG0042,2019,3807688,75.4,3214,29.0,92.1,65.8
D000494,RG0042,2020,3855843,76.4,3279,28.8,92.0,65.7
D000495,RG0042,2021,3938211,76.8,3302,28.9,92.4,65.7
D000496,RG0042,2022,3949179,77.8,3353,29.2,92.4,65.7
D000497,RG0042,2023,4024553,78.4,3408,28.9,92.5,65.7
D000498,RG0042,2024,4094956,79.3,3502,29.3,92.8,65.6
D000499,RG0042,2025,4240657,80.2,3561,29.4,92.8,65.3
D000500,RG0042,2026,4268387,79.9,3633,29.4,93.4,65.3
D000501,RG0042,2027,4381765,82.2,3628,29.6,93.2,65.2
D000502,RG0042,2028,4451177,82.9,3571,29.4,93.5,65.4
D000503,RG0042,2029,4487314,82.2,3656,29.6,93.5,65.1
D000504,RG0042,2030,4582358,83.8,3659,29.8,93.7,65.1
D000505,RG0043,2019,2664286,70.2,3269,29.4,90.4,65.6
D000506,RG0043,2020,2695576,71.5,3386,29.4,90.6,65.5
D000507,RG0043,2021,2735850,72.4,3348,29.5,90.8,65.5
D000508,RG0043,2022,2815073,73.3,3413,29.5,90.6,65.2
D000509,RG0043,2023,2874400,73.0,3408,29.5,90.7,65.3
D000510,RG0043,2024,2937642,74.1,3375,29.4,91.3,65.0
D000511,RG0043,2025,2983599,74.5,3465,29.6,91.2,65.2
D000512,RG0043,2026,3041021,76.6,3455,29.5,91.6,65.0
D000513,RG0043,2027,3073484,77.2,3505,29.5,91.8,65.0
D000514,RG0043,2028,3141840,76.2,3545,29.9,91.7,65.1
D000515,RG0043,2029,3214300,78.1,3741,29.8,92.0,64.8
D000516,RG0043,2030,3270373,78.5,3762,29.8,92.3,64.8
D000517,RG0044,2019,653214,78.6,3296,29.4,92.2,66.4
D000518,RG0044,2020,662987,78.9,3274,29.3,92.5,66.4
D000519,RG0044,2021,679899,79.2,3261,29.5,92.9,66.2
D000520,RG0044,2022,686987,79.4,3303,29.7,93.0,66.4
D000521,RG0044,2023,711581,80.8,3413,29.8,93.3,66.3
D000522,RG0044,2024,718367,82.0,3387,29.7,93.2,65.9
D000523,RG0044,2025,739008,81.5,3429,30.0,93.6,65.9
D000524,RG0044,2026,745365,82.6,3480,29.8,93.6,65.9
D000525,RG0044,2027,754995,83.8,3495,30.0,93.8,65.8
D000526,RG0044,2028,777487,83.1,3652,30.0,94.0,65.9
D000527,RG0044,2029,783641,83.8,3757,29.9,94.2,65.7
D000528,RG0044,2030,801820,84.2,3632,30.1,94.3,65.8
D000529,RG0045,2019,3166843,69.8,3335,28.7,89.6,66.5
D000530,RG0045,2020,3257262,70.2,3292,28.7,90.0,66.4
D000531,RG0045,2021,3300439,71.3,3424,28.5,90.2,66.4
D000532,RG0045,2022,3332320,72.3,3442,28.7,90.4,66.3
D000533,RG0045,2023,3409805,72.8,3378,28.7,90.7,66.4
D000534,RG0045,2024,3509328,72.9,3363,28.9,90.7,66.4
D000535,RG0045,2025,3557704,74.8,3488,28.9,90.8,66.3
D000536,RG0045,2026,3606050,74.9,3559,28.9,91.3,66.1
D000537,RG0045,2027,3697681,74.6,3482,29.0,91.0,66.2
D000538,RG0045,2028,3777155,75.8,3543,29.3,91.2,66.2
D000539,RG0045,2029,3858202,76.2,3716,29.3,91.4,65.9
D000540,RG0045,2030,3893748,77.0,3586,29.4,91.6,66.0
D000541,RG0046,2019,2861743,76.1,3283,28.8,91.9,66.4
D000542,RG0046,2020,2888908,77.8,3277,29.0,92.0,65.9
D000543,RG0046,2021,2960380,78.5,3412,28.9,92.4,66.0
D000544,RG0046,2022,2989004,77.5,3420,29.2,92.6,65.8
D000545,RG0046,2023,3034957,78.6,3429,29.4,92.9,65.9
D000546,RG0046,2024,3132913,79.4,3499,29.5,92.7,65.9
D000547,RG0046,2025,3149914,79.7,3496,29.2,92.9,65.8
D000548,RG0046,2026,3244810,80.1,3558,29.3,93.2,65.6
D000549,RG0046,2027,3279023,81.6,3640,29.4,93.6,65.9
D000550,RG0046,2028,3350709,82.9,3703,29.5,93.6,65.6
D000551,RG0046,2029,3371159,82.7,3754,29.4,93.7,65.7
D000552,RG0046,2030,3497164,83.2,3584,29.6,93.8,65.6
D000553,RG0047,2019,1943452,72.5,2874,29.5,86.3,64.2
D000554,RG0047,2020,1961982,72.9,2902,29.4,86.2,64.0
D000555,RG0047,2021,1998239,73.0,2961,29.3,86.5,64.2
D000556,RG0047,2022,2036826,74.9,3020,29.4,86.7,64.1
D000557,RG0047,2023,2077904,75.1,3082,29.5,86.8,63.8
D000558,RG0047,2024,2095619,75.6,3067,29.5,87.1,63.9
D000559,RG0047,2025,2133421,76.6,3169,29.7,87.3,63.8
D000560,RG0047,2026,2169228,77.3,3266,29.7,87.5,63.7
D000561,RG0047,2027,2204112,77.7,3298,30.0,87.7,63.9
D000562,RG0047,2028,2279317,78.4,3210,30.2,87.5,63.7
D000563,RG0047,2029,2295475,79.2,3318,30.2,88.1,63.7
D000564,RG0047,2030,2339411,80.3,3328,30.1,88.3,63.6
D000565,RG0048,2019,3375227,72.0,2988,29.6,85.9,63.8
D000566,RG0048,2020,3423138,72.4,3007,29.3,86.3,63.9
D000567,RG0048,2021,3489493,74.1,3065,29.6,86.6,63.7
D000568,RG0048,2022,3550305,75.3,2981,29.4,86.6,63.6
D000569,RG0048,2023,3599423,76.0,3138,29.5,86.7,63.7
D000570,RG0048,2024,3611227,75.7,3087,29.9,86.9,63.6
D000571,RG0048,2025,3684898,75.9,3141,29.6,87.3,63.5
D000572,RG0048,2026,3739814,77.3,3247,30.0,87.3,63.6
D000573,RG0048,2027,3831217,76.8,3251,29.8,87.5,63.5
D000574,RG0048,2028,3866063,78.2,3188,30.1,87.9,63.3
D000575,RG0048,2029,3984150,79.4,3250,30.3,87.9,63.2
D000576,RG0048,2030,4039984,79.6,3289,29.9,88.2,63.1
D000577,RG0049,2019,1965580,73.0,2907,29.4,86.7,64.8
D000578,RG0049,2020,2006792,73.4,3019,29.8,86.5,64.8
D000579,RG0049,2021,2029208,75.5,2927,30.0,86.6,64.7
D000580,RG0049,2022,2050319,75.0,3001,29.7,87.0,64.6
D000581,RG0049,2023,2114301,77.1,3016,29.6,87.3,64.4
D000582,RG0049,2024,2122542,76.1,3103,29.9,87.3,64.5
D000583,RG0049,2025,2195653,76.8,3133,30.2,87.6,64.6
D000584,RG0049,2026,2224903,77.6,3140,30.1,87.8,64.6
D000585,RG0049,2027,2237847,79.5,3277,30.2,87.7,64.4
D000586,RG0049,2028,2283194,79.9,3193,30.1,88.3,64.5
D000587,RG0049,2029,2343085,81.2,3357,30.4,88.1,64.1
D000588,RG0049,2030,2358984,81.4,3376,30.3,88.5,64.2
D000589,RG0050,2019,3257404,71.2,2859,28.8,85.4,65.0
D000590,RG0050,2020,3292756,71.5,3027,28.8,86.0,65.0
D000591,RG0050,2021,3361722,72.4,3015,28.8,85.7,64.9
D000592,RG0050,2022,3398674,73.6,2972,29.0,86.2,64.7
D000593,RG0050,2023,3496702,73.5,3117,28.9,86.2,64.7
D000594,RG0050,2024,3539918,74.7,3107,28.8,86.7,64.9
D000595,RG0050,2025,3550404,75.6,3162,28.8,86.7,64.6
D000596,RG0050,2026,3617771,74.6,3172,28.9,86.9,64.6
D000597,RG0050,2027,3691532,75.2,3193,28.9,86.8,64.8
D000598,RG0050,2028,3763134,77.2,3200,29.4,87.4,64.5
D000599,RG0050,2029,3863293,77.8,3301,29.1,87.6,64.6
D000600,RG0050,2030,3906478,78.0,3252,29.5,87.5,64.4
D000601,RG0051,2019,4590365,93.2,7034,28.0,91.2,65.3
D000602,RG0051,2020,4669869,92.6,7271,28.0,91.5,65.3
D000603,RG0051,2021,4774112,93.9,7254,28.1,91.5,65.4
D000604,RG0051,2022,4871556,93.8,7388,27.9,91.8,65.4
D000605,RG0051,2023,5045348,94.5,7515,28.2,91.9,65.4
D000606,RG0051,2024,5125845,95.7,7250,28.2,92.0,65.1
D000607,RG0051,2025,5254537,95.9,7562,28.2,92.5,65.1
D000608,RG0051,2026,5316525,96.4,7601,28.5,92.2,65.0
D000609,RG0051,2027,5442124,98.4,7879,28.5,92.5,65.2
D000610,RG0051,2028,5549904,98.8,7647,28.3,92.9,65.1
D000611,RG0051,2029,5674438,98.3,7766,28.3,92.8,64.8
D000612,RG0051,2030,5837458,99.0,8172,28.6,93.0,64.8
D000613,RG0052,2019,568080,71.1,2969,29.3,86.7,64.6
D000614,RG0052,2020,584902,71.9,3030,29.3,86.7,64.6
D000615,RG0052,2021,584646,72.6,3058,29.4,87.3,64.4
D000616,RG0052,2022,595302,71.5,3161,29.6,87.0,64.2
D000617,RG0052,2023,604688,72.2,3144,29.6,87.5,64.2
D000618,RG0052,2024,617605,73.9,3129,29.4,87.5,64.5
D000619,RG0052,2025,626429,75.2,3262,29.7,87.9,64.1
D000620,RG0052,2026,637659,75.1,3337,29.7,87.8,64.0
D000621,RG0052,2027,649009,76.0,3389,29.9,88.4,64.1
D000622,RG0052,2028,669621,77.2,3336,30.0,88.2,63.9
D000623,RG0052,2029,682174,76.5,3408,30.1,88.4,64.0
D000624,RG0052,2030,681650,78.1,3509,29.9,88.6,63.9
D000625,RG0053,2019,1105840,73.3,3005,28.3,87.8,65.1
D000626,RG0053,2020,1120353,73.7,3129,28.3,88.1,64.9
D000627,RG0053,2021,1139629,75.7,3117,28.1,88.1,64.9
D000628,RG0053,2022,1171931,75.0,3210,28.5,88.2,64.7
D000629,RG0053,2023,1178986,76.8,3105,28.7,88.4,64.8
D000630,RG0053,2024,1204601,76.8,3248,28.6,88.9,64.6
D000631,RG0053,2025,1217032,76.9,3247,28.8,89.1,64.5
D000632,RG0053,2026,1246746,78.8,3206,28.7,89.1,64.5
D000633,RG0053,2027,1280170,79.7,3334,28.8,89.5,64.5
D000634,RG0053,2028,1281272,79.9,3418,28.8,89.6,64.4
D000635,RG0053,2029,1325945,81.3,3367,28.9,89.8,64.1
D000636,RG0053,2030,1334669,81.0,3524,28.7,89.7,64.2
D000637,RG0054,2019,1506501,74.3,3041,29.4,87.9,64.4
D000638,RG0054,2020,1524617,73.7,3027,29.3,88.2,64.7
D000639,RG0054,2021,1555452,74.7,3140,29.6,88.2,64.4
D000640,RG0054,2022,1562766,75.1,3073,29.4,88.3,64.5
D000641,RG0054,2023,1611958,76.9,3243,29.9,88.5,64.3
D000642,RG0054,2024,1613884,76.4,3213,29.6,88.7,64.3
D000643,RG0054,2025,1639263,78.0,3193,29.7,89.1,64.4
D000644,RG0054,2026,1688749,79.5,3293,30.1,89.1,64.3
D000645,RG0054,2027,1708694,80.1,3244,29.8,89.3,64.0
D000646,RG0054,2028,1750321,79.4,3453,30.2,89.3,63.9
D000647,RG0054,2029,1785892,80.9,3340,29.9,89.8,64.2
D000648,RG0054,2030,1793448,81.2,3451,30.0,89.7,63.8
D000649,RG0055,2019,2798272,75.2,3011,28.9,88.5,64.6
D000650,RG0055,2020,2801507,77.6,3006,28.7,88.8,64.2
D000651,RG0055,2021,2880680,76.8,3094,28.8,89.1,64.2
D000652,RG0055,2022,2910914,77.4,3129,29.0,89.3,64.3
D000653,RG0055,2023,2976765,78.7,3156,29.0,89.3,64.0
D000654,RG0055,2024,3032347,79.5,3190,28.9,89.3,63.9
D000655,RG0055,2025,3067542,80.1,3320,29.2,89.7,63.9
D000656,RG0055,2026,3138572,81.7,3299,29.2,89.9,64.0
D000657,RG0055,2027,3200026,81.2,3294,29.2,90.3,64.1
D000658,RG0055,2028,3271459,82.0,3320,29.4,90.2,63.8
D000659,RG0055,2029,3292403,83.4,3295,29.4,90.6,63.9
D000660,RG0055,2030,3335085,83.3,3420,29.3,90.4,63.7
D000661,RG0056,2019,1617502,75.0,2962,29.2,88.1,65.1
D000662,RG0056,2020,1658696,74.5,3117,29.3,88.2,65.2
D000663,RG0056,2021,1667255,75.7,3168,29.4,88.2,65.3
D000664,RG0056,2022,1710839,76.1,3178,29.3,88.4,65.2
D000665,RG0056,2023,1728169,76.0,3143,29.5,88.5,64.9
D000666,RG0056,2024,1768549,77.3,3131,29.4,88.7,65.1
D000667,RG0056,2025,1805582,79.0,3210,29.3,89.3,64.7
D000668,RG0056,2026,1815758,78.8,3320,29.7,89.5,64.8
D000669,RG0056,2027,1849348,79.1,3289,29.8,89.3,64.9
D000670,RG0056,2028,1874924,80.4,3363,29.5,89.7,64.7
D000671,RG0056,2029,1926270,81.0,3471,29.7,89.9,64.7
D000672,RG0056,2030,1972487,81.2,3330,29.7,89.8,64.6
D000673,RG0057,2019,3988419,87.4,6714,27.2,88.6,65.9
D000674,RG0057,2020,4042496,89.5,6772,27.3,88.6,66.1
D000675,RG0057,2021,4146696,89.7,6896,27.4,88.7,65.9
D000676,RG0057,2022,4258777,89.2,6803,27.7,88.8,65.9
D000677,RG0057,2023,4346061,91.3,6818,27.6,89.4,65.6
D000678,RG0057,2024,4408219,90.8,7260,27.7,89.1,65.9
D000679,RG0057,2025,4511561,92.8,6978,28.0,89.4,65.6
D000680,RG0057,2026,4563345,92.6,7140,28.0,89.7,65.5
D000681,RG0057,2027,4732609,92.7,7528,28.2,89.9,65.7
D000682,RG0057,2028,4745950,94.1,7519,28.2,90.2,65.3
D000683,RG0057,2029,4874398,94.7,7580,28.1,90.0,65.3
D000684,RG0057,2030,4975409,95.4,7420,28.2,90.2,65.2
D000685,RG0058,2019,1381441,74.1,2995,29.6,86.3,64.7
D000686,RG0058,2020,1422187,73.7,2947,29.4,86.3,64.8
D000687,RG0058,2021,1428032,74.8,3032,29.5,86.4,64.4
D000688,RG0058,2022,1453194,75.2,3066,29.4,86.6,64.5
D000689,RG0058,2023,1492906,75.0,3151,29.6,87.1,64.6
D000690,RG0058,2024,1509640,77.0,3106,29.7,87.0,64.5
D000691,RG0058,2025,1538184,77.2,3189,29.8,87.3,64.5
D000692,RG0058,2026,1550899,77.1,3156,29.7,87.4,64.3
D000693,RG0058,2027,1594276,78.9,3260,30.1,87.6,64.4
D000694,RG0058,2028,1604460,79.5,3292,29.8,87.9,64.3
D000695,RG0058,2029,1637206,80.2,3231,30.2,88.0,64.3
D000696,RG0058,2030,1670119,80.4,3397,30.2,88.4,64.2
D000697,RG0059,2019,2550843,71.2,2898,29.0,85.6,65.2
D000698,RG0059,2020,2572075,72.1,2934,28.8,86.0,64.9
D000699,RG0059,2021,2615018,72.3,2980,28.8,86.3,64.9
D000700,RG0059,2022,2653801,74.0,3057,28.9,86.1,65.0
D000701,RG0059,2023,2727721,74.7,3075,29.3,86.7,64.7
D000702,RG0059,2024,2778082,75.3,3135,29.2,86.7,64.8
D000703,RG0059,2025,2817252,74.9,3123,29.1,86.9,64.7
D000704,RG0059,2026,2876843,76.9,3165,29.1,87.3,64.6
D000705,RG0059,2027,2906654,76.9,3202,29.2,87.2,64.5
D000706,RG0059,2028,2969685,77.0,3222,29.5,87.3,64.7
D000707,RG0059,2029,2988816,78.9,3254,29.5,87.8,64.2
D000708,RG0059,2030,3056264,78.3,3329,29.4,87.8,64.3
D000709,RG0060,2019,2317404,72.7,2919,28.2,86.0,64.9
D000710,RG0060,2020,2363428,71.6,3016,28.3,85.9,64.7
D000711,RG0060,2021,2364036,73.0,3073,28.3,86.2,64.5
D000712,RG0060,2022,2400815,73.8,3064,28.3,86.2,64.7
D000713,RG0060,2023,2440317,74.3,3136,28.7,86.7,64.5
D000714,RG0060,2024,2505608,75.4,3035,28.7,86.6,64.4
D000715,RG0060,2025,2549555,75.7,3039,28.6,87.1,64.5
D000716,RG0060,2026,2575357,76.7,3159,28.7,87.0,64.5
D000717,RG0060,2027,2653035,76.8,3205,28.8,87.3,64.1
D000718,RG0060,2028,2686255,77.5,3201,29.1,87.4,64.2
D000719,RG0060,2029,2711326,78.8,3324,29.1,87.7,64.1
D000720,RG0060,2030,2776079,78.7,3282,29.0,87.7,64.0
D000721,RG0061,2019,1662868,76.9,2884,28.7,87.1,64.1
D000722,RG0061,2020,1691748,76.4,2974,28.6,87.2,64.1
D000723,RG0061,2021,1733122,77.6,2950,28.7,87.6,63.9
D000724,RG0061,2022,1741945,78.3,2964,28.9,87.9,64.0
D000725,RG0061,2023,1797051,78.7,3048,28.7,88.1,64.0
D000726,RG0061,2024,1796886,78.6,3104,28.8,87.9,63.6
D000727,RG0061,2025,1840445,79.7,3166,29.1,88.4,63.9
D000728,RG0061,2026,1857149,81.8,3223,29.1,88.4,63.6
D000729,RG0061,2027,1910880,81.5,3287,29.0,88.5,63.5
D000730,RG0061,2028,1940157,82.5,3145,29.0,88.8,63.4
D000731,RG0061,2029,1984944,82.2,3200,29.0,88.9,63.7
D000732,RG0061,2030,1994483,83.3,3352,29.1,89.0,63.3
D000733,RG0062,2019,802878,70.1,2945,28.9,85.6,63.9
D000734,RG0062,2020,822039,71.2,3009,29.2,85.8,63.9
D000735,RG0062,2021,836468,71.0,3026,29.4,85.9,63.7
D000736,RG0062,2022,853623,71.6,2991,29.5,85.7,63.5
D000737,RG0062,2023,871146,73.0,2992,29.2,86.0,63.4
D000738,RG0062,2024,872483,73.0,3020,29.5,86.2,63.6
D000739,RG0062,2025,900127,74.8,3131,29.7,86.4,63.4
D000740,RG0062,2026,919919,74.8,3190,29.8,86.9,63.4
D000741,RG0062,2027,926873,76.1,3208,29.9,86.8,63.2
D000742,RG0062,2028,945259,77.2,3144,29.7,86.9,63.2
D000743,RG0062,2029,959044,78.1,3364,29.6,87.4,63.2
D000744,RG0062,2030,983616,77.5,3336,29.9,87.3,63.1
D000745,RG0063,2019,543756,78.6,2901,29.3,87.5,64.7
D000746,RG0063,2020,553412,78.5,3015,29.3,88.1,64.7
D000747,RG0063,2021,561845,79.0,2918,29.4,88.0,64.6
D000748,RG0063,2022,573981,80.2,2966,29.6,88.2,64.7
D000749,RG0063,2023,578777,80.0,3018,29.7,88.3,64.4
D000750,RG0063,2024,589038,81.9,3170,29.7,88.8,64.4
D000751,RG0063,2025,607885,81.8,3089,29.8,88.6,64.2
D000752,RG0063,2026,613609,82.7,3152,29.8,88.8,64.1
D000753,RG0063,2027,620224,83.1,3255,29.6,89.4,64.2
D000754,RG0063,2028,632044,84.2,3257,30.1,89.4,64.0
D000755,RG0063,2029,647106,84.4,3303,29.8,89.3,64.0
D000756,RG0063,2030,658789,84.9,3257,30.3,89.6,64.0
D000757,RG0064,2019,2730169,76.2,2881,28.2,86.8,64.2
D000758,RG0064,2020,2756590,76.5,2914,28.2,86.8,63.9
D000759,RG0064,2021,2837571,76.9,3035,28.1,87.2,63.8
D000760,RG0064,2022,2903718,77.5,3081,28.6,87.3,63.9
D000761,RG0064,2023,2925570,77.4,2995,28.5,87.4,64.1
D000762,RG0064,2024,3002544,78.4,3084,28.7,87.8,63.8
D000763,RG0064,2025,3004472,78.3,3043,28.5,88.1,63.6
D000764,RG0064,2026,3100306,80.0,3080,28.5,88.3,63.6
D000765,RG0064,2027,3141284,80.6,3118,29.0,88.5,63.5
D000766,RG0064,2028,3209790,82.0,3259,28.7,88.8,63.4
D000767,RG0064,2029,3210733,81.4,3322,28.7,88.6,63.4
D000768,RG0064,2030,3278155,82.6,3392,29.2,88.7,63.4
D000769,RG0065,2019,1638404,87.1,6953,27.2,89.5,66.0
D000770,RG0065,2020,1665851,86.4,7133,27.3,89.8,66.1
D000771,RG0065,2021,1690602,88.2,7360,27.2,89.9,65.7
D000772,RG0065,2022,1739985,88.7,7230,27.5,90.3,65.8
D000773,RG0065,2023,1792702,89.8,7454,27.4,90.6,65.7
D000774,RG0065,2024,1802524,90.3,7374,27.5,90.7,65.7
D000775,RG0065,2025,1846045,89.3,7760,27.7,90.8,65.7
D000776,RG0065,2026,1888725,90.5,7576,27.6,91.2,65.6
D000777,RG0065,2027,1957133,91.8,7661,27.6,90.9,65.6
D000778,RG0065,2028,1990485,93.0,8106,27.9,91.3,65.3
D000779,RG0065,2029,2038603,93.1,7994,27.7,91.3,65.5
D000780,RG0065,2030,2056505,93.9,7863,27.8,91.5,65.2
D000781,RG0066,2019,2476852,75.8,3014,28.8,89.2,64.7
D000782,RG0066,2020,2517149,76.8,3158,28.9,89.1,64.3
D000783,RG0066,2021,2590734,76.4,3116,28.5,89.3,64.4
D000784,RG0066,2022,2610998,78.6,3212,28.8,89.5,64.1
D000785,RG0066,2023,2676746,79.2,3157,29.1,89.6,64.3
D000786,RG0066,2024,2703823,79.1,3265,28.7,89.8,64.3
D000787,RG0066,2025,2741559,78.9,3289,29.2,90.0,64.2
D000788,RG0066,2026,2823188,79.8,3344,29.3,90.3,64.0
D000789,RG0066,2027,2879366,80.1,3307,29.3,90.7,64.0
D000790,RG0066,2028,2892883,81.7,3451,29.1,90.8,64.1
D000791,RG0066,2029,2976759,81.4,3479,29.4,90.7,64.1
D000792,RG0066,2030,3009066,83.7,3368,29.6,90.9,63.7
D000793,RG0067,2019,672969,73.6,2977,29.4,88.5,64.5
D000794,RG0067,2020,682017,73.9,3091,29.8,88.8,64.4
D000795,RG0067,2021,704188,75.2,3137,29.6,89.0,64.5
D000796,RG0067,2022,708126,75.7,3138,29.8,89.0,64.4
D000797,RG0067,2023,719398,76.6,3211,30.1,89.3,64.4
D000798,RG0067,2024,734634,77.7,3255,30.1,89.4,64.2
D000799,RG0067,2025,744805,78.2,3258,30.1,89.8,64.1
D000800,RG0067,2026,765670,77.9,3418,30.1,89.9,64.2
D000801,RG0067,2027,768921,79.5,3388,29.9,89.7,64.0
D000802,RG0067,2028,790920,80.3,3450,30.2,90.2,64.0
D000803,RG0067,2029,805802,80.7,3390,30.1,90.1,63.9
D000804,RG0067,2030,820681,82.3,3475,30.3,90.7,63.9
