econ_id,region_id,year,gdp_per_capita,median_household_income,petrol_price,electricity_price,employment_rate,vehicle_ownership_rate,affordability_index,energy_cost_advantage
E000855,RG0072,2021,514295,775587,83.02,6.77,94.0,0.59,37.7,12.26
E000856,RG0072,2022,561121,855640,98.25,6.21,93.2,0.62,38.1,15.82
E000857,RG0072,2023,601706,908033,100.77,6.94,94.3,0.64,37.7,14.52
E000858,RG0072,2024,631160,962922,102.21,7.55,93.6,0.65,38.1,13.54
E000859,RG0072,2025,666271,1079155,104.98,7.0,94.3,0.68,40.5,15.0
E000860,RG0072,2026,724184,1164819,108.69,7.57,94.1,0.69,40.2,14.36
E000861,RG0072,2027,784194,1198776,110.88,7.35,94.0,0.71,38.2,15.09
E000862,RG0072,2028,820804,1341846,112.53,8.02,94.3,0.72,40.9,14.03
E000863,RG0072,2029,873998,1408997,115.67,7.75,94.2,0.75,40.3,14.93
E000864,RG0072,2030,924566,1522743,113.77,8.26,94.4,0.77,41.2,13.77
E000865,RG0073,2019,460377,694441,74.87,6.23,93.6,0.57,37.7,12.02
E000866,RG0073,2020,479865,721876,70.85,6.95,93.4,0.59,37.6,10.19
E000867,RG0073,2021,510402,797883,85.17,6.89,93.5,0.61,39.1,12.36
E000868,RG0073,2022,543830,871168,96.6,6.16,93.6,0.63,40.0,15.68
E000869,RG0073,2023,597288,919536,101.45,7.61,93.3,0.65,38.5,13.33
E000870,RG0073,2024,642386,1007173,105.77,6.71,94.4,0.65,39.2,15.76
E000871,RG0073,2025,675218,1095345,104.42,7.31,94.2,0.66,40.6,14.28
E000872,RG0073,2026,719415,1123477,106.2,7.48,94.1,0.68,39.0,14.2
E000873,RG0073,2027,764761,1260416,108.75,7.26,94.5,0.72,41.2,14.98
E000874,RG0073,2028,835384,1301141,109.79,7.41,94.0,0.72,38.9,14.82
E000875,RG0073,2029,884505,1465965,116.62,8.66,95.0,0.74,41.4,13.47
E000876,RG0073,2030,941635,1512296,115.45,7.72,94.7,0.78,40.2,14.95
E000877,RG0074,2019,451856,702520,71.86,5.52,93.7,0.56,38.9,13.02
E000878,RG0074,2020,486012,717771,70.75,5.92,93.3,0.58,36.9,11.95
E000879,RG0074,2021,512775,800453,83.22,6.53,93.4,0.6,39.0,12.74
E000880,RG0074,2022,552876,861416,98.0,7.16,93.6,0.61,39.0,13.69
E000881,RG0074,2023,593256,943279,101.39,7.29,93.5,0.64,39.8,13.91
E000882,RG0074,2024,626059,1000446,105.22,7.1,94.4,0.67,40.0,14.82
E000883,RG0074,2025,681868,1036327,104.61,7.75,94.4,0.67,38.0,13.5
E000884,RG0074,2026,728491,1155634,105.44,7.49,94.6,0.68,39.7,14.08
E000885,RG0074,2027,760666,1235464,108.64,8.0,94.0,0.7,40.6,13.58
E000886,RG0074,2028,818174,1318290,109.81,7.57,94.9,0.71,40.3,14.51
E000887,RG0074,2029,873374,1444367,114.67,8.81,94.5,0.75,41.3,13.02
E000888,RG0074,2030,933522,1541122,115.17,7.76,94.7,0.75,41.3,14.84
E000889,RG0075,2019,525580,782564,76.46,6.25,94.5,0.61,37.2,12.23
E000890,RG0075,2020,552588,837094,72.24,5.84,94.3,0.64,37.9,12.37
E000891,RG0075,2021,603811,951866,84.85,6.34,94.7,0.67,39.4,13.38
E000892,RG0075,2022,644850,986232,97.77,6.38,94.3,0.67,38.2,15.32
E000893,RG0075,2023,694431,1099527,100.63,6.59,94.4,0.7,39.6,15.27
E000894,RG0075,2024,741711,1197686,102.26,7.06,94.7,0.71,40.4,14.48
E000895,RG0075,2025,797222,1252878,106.22,7.84,95.1,0.74,39.3,13.55
E000896,RG0075,2026,855221,1371759,108.21,7.58,95.3,0.75,40.1,14.28
E000897,RG0075,2027,943371,1485459,110.38,7.56,95.2,0.76,39.4,14.6
E000898,RG0075,2028,981735,1673907,114.82,7.06,95.4,0.8,42.6,16.26
E000899,RG0075,2029,1057914,1795229,112.77,7.98,95.1,0.81,42.4,14.13
E000900,RG0075,2030,1141192,1872812,117.31,8.09,95.1,0.81,41.0,14.5
E000901,RG0076,2019,522927,780619,73.01,5.45,94.7,0.62,37.3,13.4
E000902,RG0076,2020,559410,878940,70.48,5.68,94.3,0.63,39.3,12.41
E000903,RG0076,2021,595958,950960,87.12,7.0,94.2,0.67,39.9,12.45
E000904,RG0076,2022,649061,985907,97.63,6.0,94.6,0.68,38.0,16.27
E000905,RG0076,2023,699766,1124002,103.39,6.1,95.0,0.7,40.2,16.95
E000906,RG0076,2024,757581,1173460,106.58,6.86,95.2,0.72,38.7,15.54
E000907,RG0076,2025,791144,1314679,104.74,7.08,95.4,0.74,41.5,14.79
E000908,RG0076,2026,869510,1407091,109.87,7.17,95.5,0.75,40.5,15.32
E000909,RG0076,2027,918905,1516853,108.54,7.79,94.9,0.78,41.3,13.93
E000910,RG0076,2028,987995,1673146,113.53,7.92,95.7,0.8,42.3,14.33
E000911,RG0076,2029,1062954,1820760,115.91,7.59,95.1,0.79,42.8,15.27
E000912,RG0076,2030,1162157,1935996,118.87,7.91,95.2,0.82,41.6,15.03
E000913,RG0077,2019,533505,775733,76.75,5.47,94.6,0.63,36.4,14.03
E000914,RG0077,2020,553675,852475,69.32,6.2,94.5,0.63,38.5,11.18
E000915,RG0077,2021,614429,933837,85.62,6.2,94.1,0.65,38.0,13.81
E000916,RG0077,2022,636531,1022110,98.67,6.86,94.8,0.67,40.1,14.38
E000917,RG0077,2023,688564,1112264,99.95,6.93,95.2,0.7,40.4,14.42
E000918,RG0077,2024,733929,1212147,106.76,6.7,95.0,0.71,41.3,15.93
E000919,RG0077,2025,797748,1314239,107.41,7.72,94.5,0.73,41.2,13.91
E000920,RG0077,2026,874555,1396223,108.98,7.27,95.3,0.76,39.9,14.99
E000921,RG0077,2027,938824,1526354,112.07,8.05,95.1,0.77,40.6,13.92
E000922,RG0077,2028,986156,1625768,111.04,7.18,95.1,0.78,41.2,15.47
E000923,RG0077,2029,1081941,1781818,112.94,7.92,95.9,0.8,41.2,14.26
E000924,RG0077,2030,1159648,1923695,116.57,8.35,95.7,0.83,41.5,13.96
E000925,RG0078,2019,519560,777526,76.61,5.98,93.9,0.63,37.4,12.81
E000926,RG0078,2020,561628,850463,70.19,6.28,93.9,0.65,37.9,11.18
E000927,RG0078,2021,608501,938513,84.2,6.31,94.1,0.66,38.6,13.34
E000928,RG0078,2022,649476,1037269,97.4,5.88,95.0,0.68,39.9,16.56
E000929,RG0078,2023,698159,1111877,103.15,7.23,94.6,0.71,39.8,14.27
E000930,RG0078,2024,760485,1205012,102.94,6.89,94.7,0.71,39.6,14.94
E000931,RG0078,2025,790595,1289824,105.44,6.61,94.5,0.74,40.8,15.95
E000932,RG0078,2026,880595,1401367,108.78,7.18,95.3,0.75,39.8,15.15
E000933,RG0078,2027,918296,1513391,112.68,8.04,95.5,0.77,41.2,14.01
E000934,RG0078,2028,1015322,1678199,115.53,7.38,95.6,0.79,41.3,15.65
E000935,RG0078,2029,1049031,1752677,114.27,7.4,95.3,0.82,41.8,15.44
E000936,RG0078,2030,1151342,1952579,117.05,7.96,95.2,0.83,42.4,14.7
E000937,RG0079,2019,508838,800560,73.61,5.44,94.0,0.61,39.3,13.53
E000938,RG0079,2020,549848,818108,68.59,5.48,94.6,0.63,37.2,12.52
E000939,RG0079,2021,586378,889284,83.9,6.01,94.7,0.67,37.9,13.96
E000940,RG0079,2022,624810,1002100,98.75,6.22,94.5,0.67,40.1,15.88
E000941,RG0079,2023,660353,1026032,98.22,6.52,94.8,0.68,38.8,15.06
E000942,RG0079,2024,728420,1125684,103.74,6.68,94.4,0.7,38.6,15.53
E000943,RG0079,2025,762717,1219313,103.15,6.58,94.6,0.73,40.0,15.68
E000944,RG0079,2026,809554,1310733,110.77,6.77,95.2,0.76,40.5,16.36
E000945,RG0079,2027,874664,1449424,108.8,7.31,94.9,0.75,41.4,14.88
E000946,RG0079,2028,951919,1504631,110.74,8.38,95.7,0.77,39.5,13.21
E000947,RG0079,2029,991755,1598558,111.35,8.44,95.1,0.8,40.3,13.19
E000948,RG0079,2030,1064766,1777952,116.58,7.85,95.3,0.8,41.7,14.85
E000949,RG0080,2019,512161,767058,74.06,5.55,94.4,0.62,37.4,13.34
E000950,RG0080,2020,539885,845484,71.64,6.13,94.8,0.64,39.2,11.69
E000951,RG0080,2021,597987,879246,86.83,6.04,94.9,0.65,36.8,14.38
E000952,RG0080,2022,632110,949874,99.98,7.01,94.1,0.67,37.6,14.26
E000953,RG0080,2023,670045,1031631,100.3,6.63,94.7,0.7,38.5,15.13
E000954,RG0080,2024,728973,1144355,103.03,6.64,94.6,0.71,39.2,15.52
E000955,RG0080,2025,774230,1189966,102.81,7.44,95.2,0.72,38.4,13.82
E000956,RG0080,2026,836205,1322921,108.67,6.83,95.4,0.75,39.6,15.91
E000957,RG0080,2027,876447,1449426,112.15,7.42,95.3,0.76,41.3,15.11
E000958,RG0080,2028,943590,1485914,109.22,7.25,95.4,0.79,39.4,15.06
E000959,RG0080,2029,1008552,1618405,113.35,7.51,95.0,0.81,40.1,15.09
E000960,RG0080,2030,1063228,1803281,117.21,7.95,95.4,0.82,42.4,14.74
E000961,RG0081,2019,518585,777946,72.92,6.27,94.3,0.62,37.5,11.63
E000962,RG0081,2020,563557,876460,69.36,6.34,94.4,0.64,38.9,10.94
E000963,RG0081,2021,613523,926313,86.94,5.97,94.7,0.66,37.7,14.56
E000964,RG0081,2022,639673,1027476,96.78,6.78,94.6,0.68,40.2,14.27
E000965,RG0081,2023,691631,1116772,101.7,6.16,95.0,0.69,40.4,16.51
E000966,RG0081,2024,751197,1178558,104.36,6.67,94.7,0.71,39.2,15.65
E000967,RG0081,2025,805151,1247684,103.69,7.51,95.4,0.73,38.7,13.81
E000968,RG0081,2026,879841,1420027,111.23,7.64,95.0,0.74,40.3,14.56
E000969,RG0081,2027,939124,1492152,110.56,7.17,94.9,0.77,39.7,15.42
E000970,RG0081,2028,1001556,1646415,113.16,8.15,94.8,0.8,41.1,13.88
E000971,RG0081,2029,1056172,1793246,112.78,7.8,95.8,0.82,42.4,14.46
E000972,RG0081,2030,1141363,1887220,116.5,7.47,95.9,0.83,41.3,15.6
E000973,RG0082,2019,511344,800045,71.11,6.23,94.3,0.63,39.1,11.41
E000974,RG0082,2020,556325,820153,68.06,5.65,94.2,0.63,36.9,12.05
E000975,RG0082,2021,583361,877537,85.45,6.03,94.8,0.66,37.6,14.17
E000976,RG0082,2022,619389,976046,97.55,6.15,94.3,0.68,39.4,15.86
E000977,RG0082,2023,683515,1036977,102.83,6.22,94.2,0.7,37.9,16.53
E000978,RG0082,2024,727398,1127162,101.91,6.47,94.4,0.71,38.7,15.75
E000979,RG0082,2025,765095,1230288,107.43,7.0,94.4,0.71,40.2,15.35
E000980,RG0082,2026,812791,1295265,105.34,7.37,94.7,0.75,39.8,14.29
E000981,RG0082,2027,893054,1422849,112.42,7.5,94.9,0.76,39.8,14.99
E000982,RG0082,2028,937966,1567368,114.75,7.17,95.1,0.79,41.8,16.0
E000983,RG0082,2029,994057,1620639,111.33,8.02,95.1,0.8,40.8,13.88
E000984,RG0082,2030,1098312,1755258,114.01,8.77,95.1,0.82,40.0,13.0
E000985,RG0083,2019,503304,767180,71.25,6.44,94.0,0.61,38.1,11.06
E000986,RG0083,2020,544001,825379,69.78,5.65,94.0,0.64,37.9,12.35
E000987,RG0083,2021,591544,880114,82.6,6.72,94.1,0.65,37.2,12.29
E000988,RG0083,2022,626458,982941,100.14,6.68,95.0,0.69,39.2,14.99
E000989,RG0083,2023,680445,1043126,103.24,6.44,95.0,0.71,38.3,16.03
E000990,RG0083,2024,731251,1100591,103.17,7.47,95.1,0.7,37.6,13.81
E000991,RG0083,2025,760826,1225218,103.88,7.08,95.0,0.72,40.3,14.67
E000992,RG0083,2026,824321,1285804,110.66,6.99,95.1,0.75,39.0,15.83
E000993,RG0083,2027,869990,1407153,112.04,6.97,94.9,0.78,40.4,16.07
E000994,RG0083,2028,943741,1526923,113.8,8.38,95.5,0.79,40.4,13.58
E000995,RG0083,2029,1027057,1689246,113.31,8.19,95.7,0.81,41.1,13.84
E000996,RG0083,2030,1063671,1802675,115.77,7.59,95.6,0.81,42.4,15.25
E000997,RG0084,2019,515239,787357,73.67,6.08,94.5,0.63,38.2,12.12
E000998,RG0084,2020,546440,814636,67.88,5.75,93.9,0.64,37.3,11.81
E000999,RG0084,2021,597832,884207,84.59,5.86,94.3,0.67,37.0,14.44
E001000,RG0084,2022,619669,955462,100.15,6.44,94.6,0.68,38.5,15.55
E001001,RG0084,2023,685526,1070535,99.96,6.05,94.7,0.69,39.0,16.52
E001002,RG0084,2024,709393,1144342,103.39,6.68,94.8,0.7,40.3,15.48
E001003,RG0084,2025,760507,1193130,103.64,7.56,95.1,0.71,39.2,13.71
E001004,RG0084,2026,821800,1277283,110.79,7.69,94.8,0.73,38.9,14.41
E001005,RG0084,2027,893049,1425478,109.61,8.24,95.6,0.75,39.9,13.3
E001006,RG0084,2028,955098,1484459,113.86,8.19,95.4,0.78,38.9,13.9
E001007,RG0084,2029,993656,1649175,115.64,8.28,95.7,0.81,41.5,13.97
E001008,RG0084,2030,1063768,1722847,113.46,7.53,95.9,0.82,40.5,15.07
E001009,RG0085,2019,505716,766217,74.09,5.26,94.2,0.62,37.9,14.09
E001010,RG0085,2020,547619,842010,68.78,6.36,94.2,0.63,38.4,10.81
E001011,RG0085,2021,581444,909644,86.45,6.05,94.0,0.65,39.1,14.29
E001012,RG0085,2022,633493,982278,95.72,6.83,94.3,0.67,38.8,14.01
E001013,RG0085,2023,664120,1021295,101.45,6.76,95.1,0.68,38.4,15.01
E001014,RG0085,2024,711282,1116379,102.15,7.32,94.9,0.7,39.2,13.95
E001015,RG0085,2025,758715,1210515,102.35,6.77,94.6,0.71,39.9,15.12
E001016,RG0085,2026,818085,1347732,106.33,7.49,94.8,0.74,41.2,14.2
E001017,RG0085,2027,883163,1417829,109.94,7.43,95.5,0.77,40.1,14.8
E001018,RG0085,2028,930008,1558817,109.51,8.39,95.0,0.79,41.9,13.05
E001019,RG0085,2029,1025585,1692009,114.15,7.79,95.2,0.81,41.2,14.65
E001020,RG0085,2030,1100510,1799571,114.42,8.39,95.5,0.82,40.9,13.64
E001021,RG0086,2019,508897,780480,73.65,6.53,94.5,0.61,38.3,11.28
E001022,RG0086,2020,551581,826858,67.43,6.56,93.9,0.64,37.5,10.28
E001023,RG0086,2021,598331,924664,84.82,7.04,94.4,0.64,38.6,12.05
E001024,RG0086,2022,619284,979729,95.58,6.74,94.2,0.66,39.6,14.18
E001025,RG0086,2023,665790,1071142,99.18,6.36,95.1,0.69,40.2,15.59
E001026,RG0086,2024,715301,1145780,102.27,6.86,95.0,0.7,40.0,14.91
E001027,RG0086,2025,755230,1212948,106.17,6.97,95.3,0.72,40.2,15.23
E001028,RG0086,2026,821962,1338992,110.23,7.67,95.0,0.75,40.7,14.37
E001029,RG0086,2027,864831,1447288,109.85,6.86,95.6,0.78,41.8,16.01
E001030,RG0086,2028,955222,1543629,110.26,7.76,95.0,0.77,40.4,14.21
E001031,RG0086,2029,1010981,1598891,113.54,8.0,95.2,0.8,39.5,14.19
E001032,RG0086,2030,1072773,1776169,113.24,7.75,95.5,0.83,41.4,14.61
E001033,RG0087,2019,520100,801694,72.48,5.47,94.3,0.62,38.5,13.25
E001034,RG0087,2020,551479,852961,66.81,6.13,94.1,0.63,38.7,10.9
E001035,RG0087,2021,591858,930188,86.17,6.01,94.0,0.64,39.3,14.34
E001036,RG0087,2022,627509,996988,97.48,6.39,94.8,0.68,39.7,15.26
E001037,RG0087,2023,659363,1032079,102.1,6.93,94.3,0.7,39.1,14.73
E001038,RG0087,2024,726302,1120249,103.61,7.55,95.1,0.71,38.6,13.72
E001039,RG0087,2025,778020,1190629,104.25,7.82,94.5,0.73,38.3,13.33
E001040,RG0087,2026,838919,1333159,105.41,7.27,95.1,0.75,39.7,14.5
E001041,RG0087,2027,867239,1393903,112.36,6.99,95.0,0.77,40.2,16.07
E001042,RG0087,2028,942438,1523800,111.79,7.58,95.7,0.78,40.4,14.75
E001043,RG0087,2029,990564,1692511,112.03,7.29,95.3,0.81,42.7,15.37
E001044,RG0087,2030,1067945,1814800,114.58,7.48,95.5,0.81,42.5,15.32
E001045,RG0088,2019,499708,722881,76.42,5.9,93.5,0.59,36.2,12.95
E001046,RG0088,2020,531068,790595,69.83,5.96,93.8,0.63,37.2,11.72
E001047,RG0088,2021,557888,842301,87.66,7.16,94.2,0.64,37.7,12.24
E001048,RG0088,2022,604290,930649,100.17,6.49,94.0,0.63,38.5,15.43
E001049,RG0088,2023,661958,987055,101.06,7.63,94.6,0.66,37.3,13.25
E001050,RG0088,2024,702044,1088599,104.91,6.54,93.9,0.67,38.8,16.04
E001051,RG0088,2025,749714,1197924,106.47,6.72,94.5,0.71,39.9,15.84
E001052,RG0088,2026,809344,1255818,109.95,7.66,95.0,0.73,38.8,14.35
E001053,RG0088,2027,853370,1436085,113.62,7.46,94.5,0.75,42.1,15.23
E001054,RG0088,2028,916105,1553733,110.88,8.64,95.1,0.77,42.4,12.83
E001055,RG0088,2029,996386,1654346,117.65,8.41,95.2,0.79,41.5,13.99
E001056,RG0088,2030,1059066,1797884,116.6,8.29,95.2,0.78,42.4,14.07
E001057,RG0089,2019,485548,760757,76.41,5.94,93.5,0.6,39.2,12.86
E001058,RG0089,2020,530908,822341,72.71,6.56,94.1,0.62,38.7,11.08
E001059,RG0089,2021,570651,891640,87.78,5.92,94.3,0.63,39.1,14.83
E001060,RG0089,2022,597434,940334,101.77,6.78,94.0,0.63,39.3,15.01
E001061,RG0089,2023,659587,995920,99.31,7.25,94.6,0.67,37.7,13.7
E001062,RG0089,2024,709181,1087541,106.15,6.65,94.0,0.7,38.3,15.96
E001063,RG0089,2025,749764,1168758,108.83,7.74,94.7,0.7,39.0,14.06
E001064,RG0089,2026,793003,1289183,106.63,7.02,94.2,0.73,40.6,15.19
E001065,RG0089,2027,864212,1405063,108.85,8.29,94.5,0.73,40.6,13.13
E001066,RG0089,2028,918297,1505761,111.0,7.6,94.7,0.75,41.0,14.61
E001067,RG0089,2029,977252,1642565,116.14,7.93,94.9,0.78,42.0,14.65
E001068,RG0089,2030,1060469,1751851,116.56,8.87,94.7,0.78,41.3,13.14
E001069,RG0090,2019,483562,738967,70.98,6.78,93.5,0.57,38.2,10.47
E001070,RG0090,2020,505586,791640,68.68,6.4,93.7,0.61,39.1,10.73
E001071,RG0090,2021,547335,819468,84.9,5.99,94.1,0.63,37.4,14.17
E001072,RG0090,2022,579814,888001,98.94,6.11,93.9,0.65,38.3,16.19
E001073,RG0090,2023,628793,948546,98.83,7.18,94.5,0.67,37.7,13.76
E001074,RG0090,2024,677870,1068918,104.98,7.62,93.8,0.67,39.4,13.78
E001075,RG0090,2025,706905,1140978,103.4,7.42,94.3,0.71,40.4,13.94
E001076,RG0090,2026,755556,1195882,110.78,7.42,94.9,0.71,39.6,14.93
E001077,RG0090,2027,828290,1296600,112.3,8.19,94.8,0.74,39.1,13.71
E001078,RG0090,2028,884832,1420269,110.1,8.28,94.9,0.76,40.1,13.3
E001079,RG0090,2029,933522,1552128,111.37,8.74,95.2,0.76,41.6,12.74
E001080,RG0090,2030,986661,1674411,118.33,7.75,95.4,0.78,42.4,15.27
E001081,RG0091,2019,476640,706899,72.64,5.9,93.6,0.59,37.1,12.31
E001082,RG0091,2020,517555,759569,70.95,6.4,93.5,0.59,36.7,11.09
E001083,RG0091,2021,547920,844048,86.47,6.06,94.2,0.61,38.5,14.27
E001084,RG0091,2022,576372,919337,97.06,6.49,93.7,0.65,39.9,14.96
E001085,RG0091,2023,615828,984800,98.98,6.86,94.6,0.67,40.0,14.43
E001086,RG0091,2024,664564,1067102,102.64,7.28,94.4,0.68,40.1,14.1
E001087,RG0091,2025,703150,1119361,107.16,7.03,94.9,0.69,39.8,15.24
E001088,RG0091,2026,756708,1205974,110.22,7.42,94.9,0.72,39.8,14.85
E001089,RG0091,2027,812677,1337715,107.92,7.77,94.6,0.74,41.2,13.89
E001090,RG0091,2028,890791,1389140,110.79,8.05,94.4,0.76,39.0,13.76
E001091,RG0091,2029,934029,1537210,116.79,8.54,94.9,0.78,41.1,13.68
E001092,RG0091,2030,992482,1659373,113.43,7.85,95.4,0.8,41.8,14.45
E001093,RG0092,2019,482344,710900,73.02,6.68,94.1,0.6,36.8,10.93
E001094,RG0092,2020,507141,793180,71.38,5.99,93.9,0.62,39.1,11.92
E001095,RG0092,2021,546775,846723,86.52,6.64,94.0,0.62,38.7,13.03
E001096,RG0092,2022,573806,903372,96.81,6.59,93.7,0.65,39.4,14.69
E001097,RG0092,2023,617600,961248,98.43,7.19,94.3,0.66,38.9,13.69
E001098,RG0092,2024,680370,1036318,104.55,6.94,94.0,0.66,38.1,15.06
E001099,RG0092,2025,716248,1112218,105.7,6.8,94.5,0.7,38.8,15.54
E001100,RG0092,2026,761735,1218246,107.06,8.23,94.3,0.7,40.0,13.01
E001101,RG0092,2027,802865,1332073,111.84,7.19,94.9,0.72,41.5,15.55
E001102,RG0092,2028,858921,1389265,112.49,8.14,95.0,0.76,40.4,13.82
E001103,RG0092,2029,928649,1514086,112.95,8.09,95.3,0.78,40.8,13.96
E001104,RG0092,2030,982168,1666664,115.26,8.69,94.6,0.77,42.4,13.26
E001105,RG0093,2019,480110,719753,74.46,6.79,93.9,0.58,37.5,10.97
E001106,RG0093,2020,517712,782509,70.02,7.01,93.4,0.6,37.8,9.99
E001107,RG0093,2021,547298,818750,86.4,6.28,94.2,0.63,37.4,13.76
E001108,RG0093,2022,595564,891956,98.65,7.15,94.5,0.64,37.4,13.8
E001109,RG0093,2023,619996,952843,101.1,6.85,94.2,0.65,38.4,14.76
E001110,RG0093,2024,669501,1070901,104.93,6.87,94.3,0.68,40.0,15.27
E001111,RG0093,2025,708667,1103479,104.73,7.13,94.4,0.68,38.9,14.69
E001112,RG0093,2026,769269,1208300,105.79,7.64,94.2,0.71,39.3,13.85
E001113,RG0093,2027,810535,1274768,112.52,7.68,94.6,0.73,39.3,14.65
E001114,RG0093,2028,862188,1424223,112.44,7.44,94.4,0.76,41.3,15.11
E001115,RG0093,2029,942525,1477206,115.1,8.45,95.4,0.77,39.2,13.62
E001116,RG0093,2030,987010,1656113,114.41,8.16,95.2,0.78,41.9,14.02
E001117,RG0094,2019,480087,737079,70.9,5.71,93.8,0.58,38.4,12.42
E001118,RG0094,2020,512740,790650,70.45,5.81,93.9,0.61,38.6,12.13
E001119,RG0094,2021,545009,831378,83.91,6.43,93.8,0.63,38.1,13.05
E001120,RG0094,2022,578020,918956,95.41,7.19,93.7,0.65,39.7,13.27
E001121,RG0094,2023,623367,980351,102.45,7.32,93.7,0.65,39.3,14.0
E001122,RG0094,2024,677084,1047513,104.89,7.69,93.9,0.68,38.7,13.64
E001123,RG0094,2025,718186,1145146,105.37,8.07,94.5,0.71,39.9,13.06
E001124,RG0094,2026,765147,1251936,106.95,7.7,94.6,0.72,40.9,13.89
E001125,RG0094,2027,814478,1291418,109.49,8.27,94.8,0.73,39.6,13.24
E001126,RG0094,2028,873966,1448732,112.69,7.75,94.7,0.76,41.4,14.54
E001127,RG0094,2029,938512,1522855,115.84,8.37,95.1,0.77,40.6,13.84
E001128,RG0094,2030,1010933,1674205,117.7,8.23,94.6,0.78,41.4,14.3
E001129,RG0095,2019,474922,706150,75.2,5.96,93.8,0.59,37.2,12.62
E001130,RG0095,2020,521235,765555,67.29,6.69,93.7,0.6,36.7,10.06
E001131,RG0095,2021,555410,819200,82.81,7.1,94.0,0.62,36.9,11.66
E001132,RG0095,2022,584925,898952,99.85,6.22,94.1,0.63,38.4,16.05
E001133,RG0095,2023,627103,952487,103.49,7.55,94.7,0.66,38.0,13.71
E001134,RG0095,2024,658038,1038263,101.48,6.63,94.8,0.68,39.4,15.31
E001135,RG0095,2025,702579,1123094,107.59,6.71,94.8,0.71,40.0,16.03
E001136,RG0095,2026,757559,1234039,110.12,7.14,95.0,0.71,40.7,15.42
E001137,RG0095,2027,826262,1283634,111.09,7.33,95.0,0.73,38.8,15.16
E001138,RG0095,2028,870522,1408921,110.66,7.36,94.5,0.76,40.5,15.04
E001139,RG0095,2029,922057,1483627,114.24,7.94,94.5,0.77,40.2,14.39
E001140,RG0095,2030,997401,1662648,115.27,8.79,94.6,0.8,41.7,13.11
E001141,RG0096,2019,396176,611385,73.87,6.62,93.0,0.53,38.6,11.16
E001142,RG0096,2020,420020,658977,69.9,6.21,92.6,0.52,39.2,11.26
E001143,RG0096,2021,463362,683622,85.91,7.03,92.7,0.56,36.9,12.22
E001144,RG0096,2022,488003,758560,96.75,7.22,92.5,0.58,38.9,13.4
E001145,RG0096,2023,521036,810927,99.51,6.59,93.4,0.58,38.9,15.1
E001146,RG0096,2024,542492,855077,103.69,7.44,93.5,0.61,39.4,13.94
E001147,RG0096,2025,591063,936200,102.41,7.3,93.0,0.61,39.6,14.03
E001148,RG0096,2026,633149,1000200,109.71,7.96,93.7,0.63,39.5,13.78
E001149,RG0096,2027,677092,1034738,109.17,7.3,93.6,0.67,38.2,14.95
E001150,RG0096,2028,710006,1155037,113.05,8.25,93.2,0.69,40.7,13.7
E001151,RG0096,2029,754565,1226500,112.28,8.71,93.6,0.68,40.6,12.89
E001152,RG0096,2030,823729,1310082,113.74,8.59,94.1,0.72,39.8,13.24
E001153,RG0097,2019,394647,597304,75.28,5.64,92.9,0.51,37.8,13.35
E001154,RG0097,2020,433291,639905,67.79,6.96,92.9,0.52,36.9,9.74
E001155,RG0097,2021,451512,699711,85.44,6.3,93.0,0.55,38.7,13.56
E001156,RG0097,2022,486365,760891,100.03,7.12,93.4,0.58,39.1,14.05
E001157,RG0097,2023,519485,800740,101.04,7.46,93.0,0.57,38.5,13.54
E001158,RG0097,2024,557782,878963,103.91,6.8,93.1,0.59,39.4,15.28
E001159,RG0097,2025,588834,918018,106.55,7.72,93.0,0.61,39.0,13.8
E001160,RG0097,2026,635333,977057,109.09,8.21,93.1,0.64,38.4,13.29
E001161,RG0097,2027,674745,1069919,112.11,8.05,93.5,0.65,39.6,13.93
E001162,RG0097,2028,722190,1160308,113.88,7.84,93.9,0.68,40.2,14.53
E001163,RG0097,2029,763178,1203639,114.49,8.85,93.6,0.69,39.4,12.94
E001164,RG0097,2030,810670,1302159,115.45,7.79,94.2,0.7,40.2,14.82
E001165,RG0098,2019,404728,603581,75.29,6.43,93.0,0.51,37.3,11.71
E001166,RG0098,2020,433843,635146,69.05,6.05,92.6,0.52,36.6,11.41
E001167,RG0098,2021,453511,703656,82.44,5.96,93.1,0.55,38.8,13.83
E001168,RG0098,2022,475650,758984,96.86,6.72,93.1,0.57,39.9,14.41
E001169,RG0098,2023,509080,823128,98.68,6.99,93.1,0.58,40.4,14.12
E001170,RG0098,2024,553590,871411,105.41,6.79,93.6,0.59,39.4,15.52
E001171,RG0098,2025,583744,948168,104.6,7.4,93.0,0.61,40.6,14.14
E001172,RG0098,2026,640415,974515,105.7,7.9,93.8,0.64,38.0,13.38
E001173,RG0098,2027,670764,1057052,112.44,7.31,93.2,0.65,39.4,15.38
E001174,RG0098,2028,719831,1163195,113.97,7.91,93.4,0.67,40.4,14.41
E001175,RG0098,2029,749911,1239340,115.22,7.65,93.3,0.7,41.3,15.06
E001176,RG0098,2030,808154,1339330,115.97,8.59,93.9,0.72,41.4,13.5
E001177,RG0099,2019,397443,604123,72.31,6.45,92.8,0.52,38.0,11.21
E001178,RG0099,2020,431636,638242,71.47,6.18,93.0,0.53,37.0,11.56
E001179,RG0099,2021,448853,705275,86.44,6.23,92.5,0.55,39.3,13.87
E001180,RG0099,2022,482624,730499,96.13,7.19,92.4,0.55,37.8,13.37
